claim_id,paper_section,experiment,baseline_identity,changed_identity,condition,seed,metric,raw_value,display_value,unit,source_artifact,source_hash,qualification_status
SECDED_COMB_TIMING_ABS,Results,10 ns absolute scale,secded_comb,secded_comb,10 ns,17,slack_derived_frequency_mhz,239.80815347721824,239.8,MHz,docs/date2027/revision2/results/REV2_MANUSCRIPT_EVIDENCE.json,724d1ba023c7a6f3d68324c21f9999af46104602a35f0b93ccd8f73bcfcd165b,QUALIFIED_MATCHED_PHYSICAL
SECDED_COMB_TIMING_ABS,Results,10 ns absolute scale,secded_comb,secded_comb,10 ns,19,slack_derived_frequency_mhz,245.06140013380352,245.1,MHz,docs/date2027/revision2/results/REV2_MANUSCRIPT_EVIDENCE.json,724d1ba023c7a6f3d68324c21f9999af46104602a35f0b93ccd8f73bcfcd165b,QUALIFIED_MATCHED_PHYSICAL
SECDED_COMB_TIMING_ABS,Results,10 ns absolute scale,secded_comb,secded_comb,10 ns,23,slack_derived_frequency_mhz,240.0401347105236,240.0,MHz,docs/date2027/revision2/results/REV2_MANUSCRIPT_EVIDENCE.json,724d1ba023c7a6f3d68324c21f9999af46104602a35f0b93ccd8f73bcfcd165b,QUALIFIED_MATCHED_PHYSICAL
SECDED_COMB_TIMING_ABS,Results,10 ns absolute scale,secded_comb,secded_comb,10 ns,aggregate_mean,slack_derived_frequency_mhz,238.88714393052732,238.9,MHz,docs/date2027/revision2/results/REV2_MANUSCRIPT_EVIDENCE.json,724d1ba023c7a6f3d68324c21f9999af46104602a35f0b93ccd8f73bcfcd165b,QUALIFIED_MATCHED_PHYSICAL
SECDED_COMB_ENERGY_ABS,Results,10 ns absolute scale,secded_comb,secded_comb,10 ns,11,achievable_no_error_energy_pj_per_operation,145.76251578139872,145.76,pJ/op,docs/date2027/revision2/results/REV2_MANUSCRIPT_EVIDENCE.json,724d1ba023c7a6f3d68324c21f9999af46104602a35f0b93ccd8f73bcfcd165b,QUALIFIED_MATCHED_PHYSICAL
SECDED_COMB_ENERGY_ABS,Results,10 ns absolute scale,secded_comb,secded_comb,10 ns,13,achievable_no_error_energy_pj_per_operation,146.0450141653124,146.05,pJ/op,docs/date2027/revision2/results/REV2_MANUSCRIPT_EVIDENCE.json,724d1ba023c7a6f3d68324c21f9999af46104602a35f0b93ccd8f73bcfcd165b,QUALIFIED_MATCHED_PHYSICAL
SECDED_COMB_ENERGY_ABS,Results,10 ns absolute scale,secded_comb,secded_comb,10 ns,17,achievable_no_error_energy_pj_per_operation,146.49493452254939,146.49,pJ/op,docs/date2027/revision2/results/REV2_MANUSCRIPT_EVIDENCE.json,724d1ba023c7a6f3d68324c21f9999af46104602a35f0b93ccd8f73bcfcd165b,QUALIFIED_MATCHED_PHYSICAL
SECDED_COMB_ENERGY_ABS,Results,10 ns absolute scale,secded_comb,secded_comb,10 ns,19,achievable_no_error_energy_pj_per_operation,145.70806521918695,145.71,pJ/op,docs/date2027/revision2/results/REV2_MANUSCRIPT_EVIDENCE.json,724d1ba023c7a6f3d68324c21f9999af46104602a35f0b93ccd8f73bcfcd165b,QUALIFIED_MATCHED_PHYSICAL
SECDED_COMB_ENERGY_ABS,Results,10 ns absolute scale,secded_comb,secded_comb,10 ns,23,achievable_no_error_energy_pj_per_operation,144.8338756933754,144.83,pJ/op,docs/date2027/revision2/results/REV2_MANUSCRIPT_EVIDENCE.json,724d1ba023c7a6f3d68324c21f9999af46104602a35f0b93ccd8f73bcfcd165b,QUALIFIED_MATCHED_PHYSICAL
SECDED_COMB_ENERGY_ABS,Results,10 ns absolute scale,secded_comb,secded_comb,10 ns,aggregate_mean,achievable_no_error_energy_pj_per_operation,145.76888107636458,145.77,pJ/op,docs/date2027/revision2/results/REV2_MANUSCRIPT_EVIDENCE.json,724d1ba023c7a6f3d68324c21f9999af46104602a35f0b93ccd8f73bcfcd165b,QUALIFIED_MATCHED_PHYSICAL
SECDED_PIPE_AREA_ABS,Results,10 ns absolute scale,secded_pipe,secded_pipe,10 ns,11,standard_cell_instance_area_um2,25486.9,25487,um2,docs/date2027/revision2/results/REV2_MANUSCRIPT_EVIDENCE.json,724d1ba023c7a6f3d68324c21f9999af46104602a35f0b93ccd8f73bcfcd165b,QUALIFIED_MATCHED_PHYSICAL
SECDED_PIPE_AREA_ABS,Results,10 ns absolute scale,secded_pipe,secded_pipe,10 ns,13,standard_cell_instance_area_um2,25569.5,25570,um2,docs/date2027/revision2/results/REV2_MANUSCRIPT_EVIDENCE.json,724d1ba023c7a6f3d68324c21f9999af46104602a35f0b93ccd8f73bcfcd165b,QUALIFIED_MATCHED_PHYSICAL
SECDED_PIPE_AREA_ABS,Results,10 ns absolute scale,secded_pipe,secded_pipe,10 ns,17,standard_cell_instance_area_um2,25627.1,25627,um2,docs/date2027/revision2/results/REV2_MANUSCRIPT_EVIDENCE.json,724d1ba023c7a6f3d68324c21f9999af46104602a35f0b93ccd8f73bcfcd165b,QUALIFIED_MATCHED_PHYSICAL
SECDED_PIPE_AREA_ABS,Results,10 ns absolute scale,secded_pipe,secded_pipe,10 ns,19,standard_cell_instance_area_um2,25639.6,25640,um2,docs/date2027/revision2/results/REV2_MANUSCRIPT_EVIDENCE.json,724d1ba023c7a6f3d68324c21f9999af46104602a35f0b93ccd8f73bcfcd165b,QUALIFIED_MATCHED_PHYSICAL
SECDED_PIPE_AREA_ABS,Results,10 ns absolute scale,secded_pipe,secded_pipe,10 ns,23,standard_cell_instance_area_um2,25614.6,25615,um2,docs/date2027/revision2/results/REV2_MANUSCRIPT_EVIDENCE.json,724d1ba023c7a6f3d68324c21f9999af46104602a35f0b93ccd8f73bcfcd165b,QUALIFIED_MATCHED_PHYSICAL
SECDED_PIPE_AREA_ABS,Results,10 ns absolute scale,secded_pipe,secded_pipe,10 ns,aggregate_mean,standard_cell_instance_area_um2,25587.54,25588,um2,docs/date2027/revision2/results/REV2_MANUSCRIPT_EVIDENCE.json,724d1ba023c7a6f3d68324c21f9999af46104602a35f0b93ccd8f73bcfcd165b,QUALIFIED_MATCHED_PHYSICAL
SECDED_PIPE_WIRE_ABS,Results,10 ns absolute scale,secded_pipe,secded_pipe,10 ns,11,detailed_route_wirelength_um,49992.0,49992,um,docs/date2027/revision2/results/REV2_MANUSCRIPT_EVIDENCE.json,724d1ba023c7a6f3d68324c21f9999af46104602a35f0b93ccd8f73bcfcd165b,QUALIFIED_MATCHED_PHYSICAL
SECDED_PIPE_WIRE_ABS,Results,10 ns absolute scale,secded_pipe,secded_pipe,10 ns,13,detailed_route_wirelength_um,50069.0,50069,um,docs/date2027/revision2/results/REV2_MANUSCRIPT_EVIDENCE.json,724d1ba023c7a6f3d68324c21f9999af46104602a35f0b93ccd8f73bcfcd165b,QUALIFIED_MATCHED_PHYSICAL
SECDED_PIPE_WIRE_ABS,Results,10 ns absolute scale,secded_pipe,secded_pipe,10 ns,17,detailed_route_wirelength_um,50101.0,50101,um,docs/date2027/revision2/results/REV2_MANUSCRIPT_EVIDENCE.json,724d1ba023c7a6f3d68324c21f9999af46104602a35f0b93ccd8f73bcfcd165b,QUALIFIED_MATCHED_PHYSICAL
SECDED_PIPE_WIRE_ABS,Results,10 ns absolute scale,secded_pipe,secded_pipe,10 ns,19,detailed_route_wirelength_um,49956.0,49956,um,docs/date2027/revision2/results/REV2_MANUSCRIPT_EVIDENCE.json,724d1ba023c7a6f3d68324c21f9999af46104602a35f0b93ccd8f73bcfcd165b,QUALIFIED_MATCHED_PHYSICAL
SECDED_PIPE_WIRE_ABS,Results,10 ns absolute scale,secded_pipe,secded_pipe,10 ns,23,detailed_route_wirelength_um,49703.0,49703,um,docs/date2027/revision2/results/REV2_MANUSCRIPT_EVIDENCE.json,724d1ba023c7a6f3d68324c21f9999af46104602a35f0b93ccd8f73bcfcd165b,QUALIFIED_MATCHED_PHYSICAL
SECDED_PIPE_WIRE_ABS,Results,10 ns absolute scale,secded_pipe,secded_pipe,10 ns,aggregate_mean,detailed_route_wirelength_um,49964.2,49964,um,docs/date2027/revision2/results/REV2_MANUSCRIPT_EVIDENCE.json,724d1ba023c7a6f3d68324c21f9999af46104602a35f0b93ccd8f73bcfcd165b,QUALIFIED_MATCHED_PHYSICAL
SECDED_PIPE_TIMING_ABS,Results,10 ns absolute scale,secded_pipe,secded_pipe,10 ns,11,slack_derived_frequency_mhz,355.84909151726936,355.8,MHz,docs/date2027/revision2/results/REV2_MANUSCRIPT_EVIDENCE.json,724d1ba023c7a6f3d68324c21f9999af46104602a35f0b93ccd8f73bcfcd165b,QUALIFIED_MATCHED_PHYSICAL
