trace_id,epoch_index,epoch_id,design_id,architecture_mode,topology,granularity,ecc_id,epoch_objective,transition_objective,fit,latency_ns,feasibility_probability,reason
combined_changes,5,e005,adaptive-shared-whole,adaptive,shared_reconfigurable,whole_memory,taec-64,0.04709,0.0,80.0,1.3,1.0,policy decision
combined_changes,6,e006,adaptive-shared-whole,adaptive,shared_reconfigurable,whole_memory,taec-64,0.04709,0.0,80.0,1.3,1.0,policy decision
combined_changes,7,e007,adaptive-shared-whole,adaptive,shared_reconfigurable,whole_memory,taec-64,0.04709,0.0,80.0,1.3,1.0,policy decision
combined_changes,8,e008,adaptive-shared-whole,adaptive,shared_reconfigurable,whole_memory,sec-ded-64,0.036896875,0.008488608,155.3168579177202,1.1428571428571428,1.0,policy decision
combined_changes,9,e009,adaptive-shared-whole,adaptive,shared_reconfigurable,whole_memory,sec-ded-64,0.036896875,0.0,155.3168579177202,1.1428571428571428,1.0,policy decision
combined_changes,10,e010,adaptive-shared-whole,adaptive,shared_reconfigurable,whole_memory,sec-ded-64,0.036896875,0.0,155.3168579177202,1.1428571428571428,1.0,policy decision
combined_changes,11,e011,adaptive-shared-whole,adaptive,shared_reconfigurable,whole_memory,sec-ded-64,0.036896875,0.0,155.3168579177202,1.1428571428571428,1.0,policy decision
combined_changes,12,e012,adaptive-shared-whole,adaptive,shared_reconfigurable,whole_memory,taec-64,0.041769687500000006,0.012682912,135.91840165970595,1.4857142857142858,1.0,policy decision
combined_changes,13,e013,adaptive-shared-whole,adaptive,shared_reconfigurable,whole_memory,taec-64,0.041769687500000006,0.0,135.91840165970595,1.4857142857142858,1.0,policy decision
combined_changes,14,e014,adaptive-shared-whole,adaptive,shared_reconfigurable,whole_memory,taec-64,0.041769687500000006,0.0,135.91840165970595,1.4857142857142858,1.0,policy decision
combined_changes,15,e015,adaptive-shared-whole,adaptive,shared_reconfigurable,whole_memory,taec-64,0.041769687500000006,0.0,135.91840165970595,1.4857142857142858,1.0,policy decision
