family,comparison,reference_hardware_identity,candidate_hardware_identity,seed,activity_class,internal_power_reference,internal_power_candidate,internal_power_delta,internal_power_effect_pct,switching_power_reference,switching_power_candidate,switching_power_delta,switching_power_effect_pct,leakage_power_reference,leakage_power_candidate,leakage_power_delta,leakage_power_effect_pct,total_power_reference,total_power_candidate,total_power_delta,total_power_effect_pct,energy_per_op_reference,energy_per_op_candidate,energy_per_op_delta,energy_per_op_effect_pct
secded,pipelined_vs_combinational,secded-rtl-combinational-72-64-v1,secded-rtl-pipelined-72-64-v1,19,W1,0.006754348985851,0.007257875055075,0.0005035260692239996,7.454842358290703,0.007813389413059,0.003925500437617,-0.0038878889754420005,-49.759314042941874,7.305743565666e-09,9.836583103606e-09,2.53083953794e-09,34.64177896735807,0.01456774584949,0.01118338573724,-0.0033843601122499987,-23.231872296622214,145.6920262407495,111.84504075813726,-33.84698548261224,-23.231872296622203
secded,pipelined_vs_combinational,secded-rtl-combinational-72-64-v1,secded-rtl-pipelined-72-64-v1,19,W2,0.006754705682397,0.007258098572493,0.0005033928900960005,7.452477039937655,0.007814077660441,0.00392568577081,-0.0038883918896309997,-49.761367350059736,7.305742233399e-09,9.836588432677e-09,2.530846199277999e-09,34.641876464077235,0.01456879079342,0.01118379458785,-0.0033849962055699997,-23.234572131400466,145.7024767249934,111.84912967308786,-33.853347051905544,-23.234572131400455
secded,pipelined_vs_combinational,secded-rtl-combinational-72-64-v1,secded-rtl-pipelined-72-64-v1,23,W0,0.006707548629493,0.007218887563795,0.0005113389343019996,7.623335476893134,0.007774383760989,0.004001861438155,-0.0037725223228340004,-48.525033479362065,7.270191115794e-09,9.822707980334e-09,2.55251686454e-09,35.10935027546702,0.0144819393754,0.01122075971216,-0.0032611796632400006,-22.518942930942387,144.8338756933754,112.21881788131216,-32.61505781206324,-22.518942930942387
secded,pipelined_vs_combinational,secded-rtl-combinational-72-64-v1,secded-rtl-pipelined-72-64-v1,23,W1,0.006707010325044,0.007218520157039,0.0005115098319950001,7.626495371343323,0.007773327175528,0.004001519177109,-0.0037718079984190005,-48.522439789919204,7.270171575868e-09,9.822740842935e-09,2.552569267067e-09,35.1101654263537,0.01448034495115,0.01122005004436,-0.0032602949067899994,-22.51531243066881,144.81792985645117,112.21172049364438,-32.606209362806794,-22.51531243066881
secded,pipelined_vs_combinational,secded-rtl-combinational-72-64-v1,secded-rtl-pipelined-72-64-v1,23,W2,0.00670736702159,0.007218736223876,0.0005113692022859998,7.623993150217956,0.007774014025927,0.004001717083156,-0.0037722969427710007,-48.524442201802934,7.270170243601e-09,9.822746172006e-09,2.5525759284049995e-09,35.11026348594388,0.01448138803244,0.01122046355158,-0.0032609244808599995,-22.51803814354776,144.82836171243244,112.21585597935159,-32.61250573308085,-22.51803814354776
hsiao,hierarchical_vs_flat,hsiao-algorithmic-combinational-72-64-rev2-v1,hsiao-hierarchical-nibble-decode-combinational-72-64-breadth-v1,11,W0,0.007042227312922,0.006735441740602,-0.00030678557231999994,-4.356371339463438,0.007960772141814,0.008551216684282,0.0005904445424680001,7.416925543775932,7.510577937353e-09,7.226077958222e-09,-2.8449997913099994e-10,-3.787990504912697,0.01500300690532,0.0152866654098,0.0002836585044800003,1.8906776906129075,150.04507206010533,152.88194076340983,2.8368687033045035,1.8906776906129297
hsiao,hierarchical_vs_flat,hsiao-algorithmic-combinational-72-64-rev2-v1,hsiao-hierarchical-nibble-decode-combinational-72-64-breadth-v1,11,W1,0.007042281329632,0.006735490169376,-0.0003067911602559993,-4.356417272980928,0.007960877381265,0.008551344275475,0.000590466894209999,7.4171082649708175,7.510585930959e-09,7.226083731382e-09,-2.845021995770004e-10,-3.788016037527353,0.01500316616148,0.01528684236109,0.00028367619961000047,1.890775564016134,150.0466647809615,152.8837104532611,2.8370456722996096,1.890775564016134
hsiao,hierarchical_vs_flat,hsiao-algorithmic-combinational-72-64-rev2-v1,hsiao-hierarchical-nibble-decode-combinational-72-64-breadth-v1,11,W2,0.007041811011732,0.006735001225024,-0.00030680978670799986,-4.356972747448628,0.007959999144077,0.008550371043384,0.0005903718993070014,7.416733200860892,7.510564614677e-09,7.226078402311e-09,-2.84486212366e-10,-3.787813925601047,0.01500181760639,0.01528538018465,0.00028356257826,1.8901881471963478,150.0331778815064,152.86908722668466,2.8359093451782655,1.89018814719637
hsiao,hierarchical_vs_flat,hsiao-algorithmic-combinational-72-64-rev2-v1,hsiao-hierarchical-nibble-decode-combinational-72-64-breadth-v1,13,W0,0.006961538922042,0.006674079690129,-0.00028745923191299955,-4.129248362065907,0.007924395613372,0.008233274333179,0.00030887871980700074,3.897820538966834,7.45885042619e-09,7.202949792173e-09,-2.55900634017e-10,-3.430832090672642,0.01488594152033,0.01490736193955,2.1420419220000153e-05,0.1438969727964201,148.87430114482035,149.08852675743955,0.21422561261920237,0.1438969727963979
hsiao,hierarchical_vs_flat,hsiao-algorithmic-combinational-72-64-rev2-v1,hsiao-hierarchical-nibble-decode-combinational-72-64-breadth-v1,13,W1,0.006961572915316,0.006674133706838,-0.00028743920847800006,-4.128940570967976,0.007924441248178,0.008233400061727,0.00030895881354900054,3.8988088102746232,7.458858419795e-09,7.202955565333e-09,-2.559028544619996e-10,-3.4308581831083096,0.01488602161407,0.01490754075348,2.1519139409998528e-05,0.14455937232860094,148.8751021623141,149.09031507555346,0.21521291323935543,0.14455937232857874
