hardware_identity,family,architecture,seed,reference_activity_class,candidate_activity_class,reference_origin,candidate_origin,internal_power_reference,internal_power_candidate,internal_power_delta,internal_power_effect_pct,switching_power_reference,switching_power_candidate,switching_power_delta,switching_power_effect_pct,leakage_power_reference,leakage_power_candidate,leakage_power_delta,leakage_power_effect_pct,total_power_reference,total_power_candidate,total_power_delta,total_power_effect_pct,energy_per_op_reference,energy_per_op_candidate,energy_per_op_delta,energy_per_op_effect_pct
secded-rtl-pipelined-72-64-v1,secded,secded_pipe,11,W0,W1,DATE_BASELINE,SUSTAINABILITY_EXTENSION,0.007129232399166,0.007128867320716,-3.650784499995355e-07,-0.005120866168462079,0.00394526636228,0.00394492642954,-3.39932739999195e-07,-0.008616217734980225,9.768537090338e-09,9.768569952939e-09,3.286260099950904e-14,0.00033641271661721817,0.01107450760901,0.01107380352914,-7.040798700001794e-07,-0.006357662975708944,110.756150597709,110.74910909492915,-0.007041502779841835,-0.00635766297568674
secded-rtl-pipelined-72-64-v1,secded,secded_pipe,11,W0,W2,DATE_BASELINE,SUSTAINABILITY_EXTENSION,0.007129232399166,0.007129082456231,-1.4994293499968198e-07,-0.0021032128931230964,0.00394526636228,0.003945120610297,-1.457519829993134e-07,-0.0036943508908038325,9.768537090338e-09,9.76857528201e-09,3.819167199912891e-14,0.0003909661359324801,0.01107450760901,0.01107421237975,-2.9522925999898864e-07,-0.0026658454752359617,110.756150597709,110.75319800987975,-0.002952587829241793,-0.0026658454752248595
secded-rtl-pipelined-72-64-v1,secded,secded_pipe,13,W0,W1,DATE_BASELINE,SUSTAINABILITY_EXTENSION,0.00719641149044,0.007196043618023,-3.6787241700000223e-07,-0.005111886910424968,0.003931290004402,0.003930953331292,-3.366731100001158e-07,-0.008563934729388656,9.801802924869e-09,9.801835787471e-09,3.286260199874322e-14,0.0003352709930126707,0.01112771127373,0.01112700719386,-7.040798700001794e-07,-0.006327265802286153,111.28824044857375,111.28119894579388,-0.007041502779870257,-0.006327265802286153
secded-rtl-pipelined-72-64-v1,secded,secded_pipe,13,W0,W2,DATE_BASELINE,SUSTAINABILITY_EXTENSION,0.00719641149044,0.007196262478828,-1.4901161200005925e-07,-0.002070637736573122,0.003931290004402,0.003931145649403,-1.4435499900034704e-07,-0.0036719498902049175,9.801802924869e-09,9.801841116541e-09,3.819167199912891e-14,0.00038963925608204164,0.01112771127373,0.01112741883844,-2.924352900009197e-07,-0.0026279913524662746,111.28824044857375,111.28531580323843,-0.002924645335312448,-0.002627991352477377
secded-rtl-pipelined-72-64-v1,secded,secded_pipe,17,W0,W1,DATE_BASELINE,SUSTAINABILITY_EXTENSION,0.007249136455357,0.007248766720295,-3.6973506200004697e-07,-0.0051004014654298935,0.003952791448683,0.003952454775572,-3.366731110001839e-07,-0.008517350722170303,9.837583192507e-09,9.837616055108e-09,3.286260099950904e-14,0.00033405156893984156,0.01120193768293,0.01120123174042,-7.059425099990163e-07,-0.006301967837896161,112.03057876698293,112.02351863594043,-0.007060131042493367,-0.0063019678378850585
secded-rtl-pipelined-72-64-v1,secded,secded_pipe,17,W0,W2,DATE_BASELINE,SUSTAINABILITY_EXTENSION,0.007249136455357,0.007248987443745,-1.4901161200005925e-07,-0.002055577418325072,0.003952791448683,0.003952646162361,-1.4528632199996977e-07,-0.0036755372471830583,9.837583192507e-09,9.837621384179e-09,3.819167199912891e-14,0.00038822209937894314,0.01120193768293,0.01120164338499,-2.942979399987028e-07,-0.002627205652527831,112.03057876698293,112.027635493285,-0.002943273697923132,-0.002627205652527831
secded-rtl-pipelined-72-64-v1,secded,secded_pipe,19,W0,W1,DATE_BASELINE,SUSTAINABILITY_EXTENSION,0.007258250378072,0.007257875055075,-3.753229970001812e-07,-0.005170984430824532,0.003925839904696,0.003925500437617,-3.3946707899985135e-07,-0.008646992420491273,9.836550241005e-09,9.836583103606e-09,3.286260099950904e-14,0.00033408664821266143,0.01118410099298,0.01118338573724,-7.152557399987131e-07,-0.006395290425642575,111.85219403079299,111.84504075813726,-0.00715327265572796,-0.006395290425642575
secded-rtl-pipelined-72-64-v1,secded,secded_pipe,19,W0,W2,DATE_BASELINE,SUSTAINABILITY_EXTENSION,0.007258250378072,0.007258098572493,-1.5180557899965863e-07,-0.002091489974753724,0.003925839904696,0.00392568577081,-1.5413388599998246e-07,-0.0039261378390831325,9.836550241005e-09,9.836588432677e-09,3.819167199912891e-14,0.0003882628671902921,0.01118410099298,0.01118379458785,-3.0640512999925706e-07,-0.00273964916975844,111.85219403079299,111.84912967308786,-0.003064357705127918,-0.0027396491697695424
secded-rtl-pipelined-72-64-v1,secded,secded_pipe,23,W0,W1,DATE_BASELINE,SUSTAINABILITY_EXTENSION,0.007218887563795,0.007218520157039,-3.674067559997912e-07,-0.005089520410905823,0.004001861438155,0.004001519177109,-3.422610460003181e-07,-0.008552546141082917,9.822707980334e-09,9.822740842935e-09,3.286260099950904e-14,0.00033455744652410857,0.01122075971216,0.01122005004436,-7.096677999991058e-07,-0.006324596713624953,112.21881788131216,112.21172049364438,-0.007097387667784005,-0.00632459671361385
secded-rtl-pipelined-72-64-v1,secded,secded_pipe,23,W0,W2,DATE_BASELINE,SUSTAINABILITY_EXTENSION,0.007218887563795,0.007218736223876,-1.513399189995157e-07,-0.0020964437756121335,0.004001861438155,0.004001717083156,-1.4435499900034704e-07,-0.0036071963317896305,9.822707980334e-09,9.822746172006e-09,3.819167199912891e-14,0.00038881001120927294,0.01122075971216,0.01122046355158,-2.961605799992745e-07,-0.002639398646764324,112.21881788131216,112.21585597935159,-0.0029619019605746644,-0.002639398646764324
